book_img,book_title,book_price,book_score,book_page,book_genre,color,atmosphere,art_reputation,keyword
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193015.jpg,"잘 먹고 잘 싸운다, 캡틴 허니 번","9,000",9.58,500,sf,"['White', 'Orange']","['minimalism', 'dreamlike', 'colorful']",442,"['히어로', '여성', '몸무게']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936456535.jpg,아직은 신이 아니야,"10,800",8.75,600,sf,"['Beige', 'Brown', 'White']","['mysterious', 'calm', 'luxurious']",409,"['초능력', '연작', '능력']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090100.jpg,제4회 한국과학문학상 수상작품집: 모멘트 아케이드,"10,800",9.62,600,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'dreamlike', 'emotional']",391,"['과학', '문학상', '한국']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166686603.jpg,다섯 번째 감각,"16,200",9.71,900,sf,"['Beige', 'Brown', 'White']","['mysterious', 'calm', 'dreamlike']",413,"['진화', '신화', '기원']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090698.jpg,막 너머에 신이 있다면,"14,400",9.75,800,sf,"['Beige', 'Black', 'red']","['mysterious', 'dreamlike', 'emotional']",395,"['무궁화호', '프로젝트', '탑승']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937473319.jpg,스노볼 드라이브,"12,600",9.81,700,sf,"['Beige', 'Purple', 'White']","['calm', 'dreamlike', 'emotional']",390,"['드라이브', '스노', '아이러니']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932037714.jpg,팬데믹: 여섯 개의 세계,"11,700",9.55,650,sf,"['Beige', 'Brown', 'White']","['mysterious', 'calm', 'emotional']",400,"['어린이', '고립감', '양보']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193591192.jpg,사바삼사라 서 1,"19,800",10.0,"1,100",sf,"['Beige', 'White', 'Purple']","['mysterious', 'emotional', 'colorful']",424,"['연남동', '격돌', '중첩']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932033334.jpg,지구를 안아줘,"11,700",0.0,650,sf,"['Brown', 'Green', 'White']","['mysterious', 'bright', 'emotional']",275,"['묘미', '김혜정', '에피소드']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788950984526.jpg,오늘의 SF 1,"13,500",9.77,750,sf,"['Black', 'Purple']","['mysterious', 'luxurious', 'dreamlike']",392,"['듀나', '정소연', '정세랑']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165508340.jpg,어떤 물질의 사랑,"13,320",9.87,740,sf,"['Pink', 'Purple', 'White']","['mysterious', 'dreamlike', 'emotional']",353,"['어머니', '우주', '토성']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788957076378.jpg,제저벨,"12,330",5.0,680,sf,"['Orange', 'Brown', 'White']","['mysterious', 'bright', 'emotional']",388,"['우주', '진화', '모험']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791163501190.jpg,찢어진 종잇조각의 신,"15,300",0.0,850,sf,"['Beige', 'Purple']","['mysterious', 'dreamlike', 'emotional']",420,"['듀나', '이야기', '존재']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788963714653.jpg,브레인 임플란트,"9,000",0.0,500,sf,"['Beige', 'Black', 'Orange']","['mysterious', 'luxurious', 'bright']",364,"['브레인', '삽입', '치료']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791196090227.jpg,제2회 한국과학문학상 수상작품집: 관내분실,"10,800",9.57,600,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'dreamlike', 'emotional']",360,"['분실', '관내', '과학']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130650883.jpg,빛의 구역,"16,200",10.0,900,sf,"['Beige', 'Yellow', 'Purple']","['mysterious', 'calm', 'dreamlike']",382,"['입지', '도출', '부피']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193510.jpg,모래도시 속 인형들 1,"11,700",9.67,650,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'dreamlike', 'emotional']",395,"['범죄', '사이버펑크', '뒤통수']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936456597.jpg,달 위를 걷는 느낌,"11,700",8.33,650,sf,"['Beige', 'Brown']","['mysterious', 'dreamlike', 'emotional']",391,"['아빠', '영상', '미래']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165348144.jpg,악의 유전학,"13,500",10.0,750,sf,"['Beige', 'Brown']","['mysterious', 'calm', 'luxurious']",411,"['실험', '주장', '유전']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788957482452.jpg,구골플렉스,"10,800",9.38,600,sf,"['Black', 'Purple']","['mysterious', 'dreamlike', 'emotional']",392,"['동심', '화합', '성장']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090131.jpg,밤의 얼굴들,"11,700",9.38,650,sf,"['Black', 'Brown', 'White']","['mysterious', 'dreamlike', 'emotional']",392,"['기억', '감각', '경계']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788957079270.jpg,내 첫사랑은 가상 아이돌,"14,400",9.4,800,sf,"['Beige', 'Purple', 'White']","['mysterious', 'dreamlike', 'emotional']",399,"['가상', '아이돌', '사랑']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166687389.jpg,공산주의자가 온다!,"15,120",10.0,840,sf,"['Beige', 'Black', 'Orange']","['mysterious', 'luxurious', 'emotional']",376,"['천재', '작가', '당선']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9772799628000.jpg,어션 테일즈(The Earthian Tales) No 1: alone,"22,500",9.58,"1,130",sf,"['Beige', 'Purple', 'White']","['mysterious', 'calm', 'emotional']",400,"['하늘', '자리', '목록']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090018.jpg,우리가 빛의 속도로 갈 수 없다면,"12,600",9.59,700,sf,"['Beige', 'Brown']","['mysterious', 'calm', 'emotional']",417,"['주류', '속도', '정상']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788960237674.jpg,차동희 평전(상),"13,500",0.0,750,sf,"['Beige', 'Black', 'Brown']","['mysterious', 'luxurious', 'emotional']",340,"['물질', '블록버스터', '탐험']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166687464.jpg,제3회 문윤성 SF 문학상 중단편 수상작품집,"15,120",10.0,840,sf,"['Beige', 'Green', 'White']","['mysterious', 'bright', 'fresh']",411,"['대답', '실험', '부문']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791159257117.jpg,클락워크 도깨비,"10,080",9.77,560,sf,"['Beige', 'Black', 'Orange']","['mysterious', 'luxurious', 'emotional']",433,"['경복궁', '이용', '조선']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168341197.jpg,말 없는 자들의 목소리,"13,500",9.55,750,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'calm', 'emotional']",391,"['학살', '목소리', '재난']"
